Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","9.34","","","18.079","7.499","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","0c71715f409ac85cc53798867fc1f08294b549796ed9b5bd2c1d3370ed828913","1-850a3af44292471062b0a9f90792b60f3f4cf789545adc5aee9bb8e2fd8eb5b3","3-713f759a77b645010eff8954e1d288485a45c5bbc78fa370bb09bb0a20a7c201","root.record.ItemExhibitList.P5Item"
"WGS Block II Follow-On Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","","","","12.989","26.878","4.451","4.451","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","a71ece2d92392bb7076da167d6fa0a4d14e6d0241a0ad9162998c0dc6f1ac4c6","0-a6f18ad802b25bebaaeceea7049cc20a9f29222697c0090b39eba0b91b1a46dc","0-1781bb0ee5d9b7dc2088a06cd11f3365cf2497c3e1e2d595e3d37897485032de","root.record.ItemExhibitList.P5Item"
"WGS Block II Follow-On Storage, Reactivation and Transport","","","","","","","","","","","","","","","","","","","","17.556","","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","a71ece2d92392bb7076da167d6fa0a4d14e6d0241a0ad9162998c0dc6f1ac4c6","1-0d3e4c98a58fa94ccf2f8b5fc4e90b500d86478257bcdc7302977ad8b9cb1733","0-1781bb0ee5d9b7dc2088a06cd11f3365cf2497c3e1e2d595e3d37897485032de","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS Block II Follow-On support","","","","","","","","","","","","","","","","","","","","","0.208","","","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","a71ece2d92392bb7076da167d6fa0a4d14e6d0241a0ad9162998c0dc6f1ac4c6","2-02b8c68d5c7f958c742f14c35ababe0371bc278978756452ba0679a652c79476","0-1781bb0ee5d9b7dc2088a06cd11f3365cf2497c3e1e2d595e3d37897485032de","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","9.142","5.339","4.3","4.3","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","a71ece2d92392bb7076da167d6fa0a4d14e6d0241a0ad9162998c0dc6f1ac4c6","3-8b4c4a8d5f7cb76a48258796f0ceb260f26574796c16bc0fbebd498057c72b99","0-1781bb0ee5d9b7dc2088a06cd11f3365cf2497c3e1e2d595e3d37897485032de","root.record.ItemExhibitList.P5Item"
"WGS Enterprise SE&I","","","","","","","","","","","","","","","","","","","","1.872","0.881","0.419","0.419","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","a71ece2d92392bb7076da167d6fa0a4d14e6d0241a0ad9162998c0dc6f1ac4c6","4-55e0e9fd46d1024bab46cf832e3d1601d229b3f9b1c1591b92e778c8a68f4527","0-1781bb0ee5d9b7dc2088a06cd11f3365cf2497c3e1e2d595e3d37897485032de","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Launch Services","","","","","","","","","","","","","","","","","1.9","","","5.2","13.369","24.232","24.232","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","006c8b832c30f35cde20f0e32dd73db61de065aad43ddc835d4f022d10607a52","0-44c0528291df5f8c686ab7206d44a7ef0c5c5d32d641826ee2cd6ecef92ca742","0-673b8cf979db0116e77f4a82ce61a4cba5826654e407cb08e32e3ab939a7afec","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 On-Orbit Incentive","","","","","","","","","","","","","","","","","0","","","0","0","1.5","1.5","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","006c8b832c30f35cde20f0e32dd73db61de065aad43ddc835d4f022d10607a52","1-bd9ba8f931744b6c88d96944981dc98844bd9ed3ad2c8ab35884ed62cadc9a35","0-673b8cf979db0116e77f4a82ce61a4cba5826654e407cb08e32e3ab939a7afec","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Storage and MRT","","","","","","","","","","","","","","","","","0","","","1.2","3.7","6.998","6.998","","","","","","2019-BASE_PROCUREMENT-2019-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2019.xml","006c8b832c30f35cde20f0e32dd73db61de065aad43ddc835d4f022d10607a52","2-297c10c9f6b6f746b540ad3adbfd1e94ea2f74fc0df6490ee65459477c63b19a","0-673b8cf979db0116e77f4a82ce61a4cba5826654e407cb08e32e3ab939a7afec","root.record.ItemExhibitList.P5Item"
"Government Management","","","","","","","","","","","","","","","","","2.585","","","","1.911","1.95","1.95","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","bf73fba232bd6e661d85f766e5e4c1bd23dd433a25542c6b99fdb848eaa0ad88","0-a1a4b9a58d9efc001c9895047fe6dd9c9a8c448c7c6dc9a3c243b660bcbe4c2d","0-9691b78857b75c86ac042a0e2b36a10cc9194b5d998f483b7ded1c29b51e5da4","root.record.ItemExhibitList.P5Item"
"Contractor Management","","","","","","","","","","","","","","","","","3.721","","","","0.802","0.817","0.817","","","","","","2019-BASE_PROCUREMENT-2019-ARMY_OTHER_2-U_PROCUREMENT_JustificationBook_Army_PB_2019.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2019.xml","bf73fba232bd6e661d85f766e5e4c1bd23dd433a25542c6b99fdb848eaa0ad88","1-470c4cc7157232b48c28536f05c398ed33472d9fecf6e7b5494166f62a0057aa","0-9691b78857b75c86ac042a0e2b36a10cc9194b5d998f483b7ded1c29b51e5da4","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","61.649","","","3.405","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","0-2f9c5a26acb07146d48bd87a9ee91807fba46435ce0eef1c4fdd4a3baacf2df8","0-ec5bc2f65febc965780430d62b59ed99a3a1a9e0a0ee27cce84befee6579b8b1","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0.538","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","1-09e238e57a1435d374e77d321b81e4186d40564a53042c3c4495b7201d1b50bd","0-ec5bc2f65febc965780430d62b59ed99a3a1a9e0a0ee27cce84befee6579b8b1","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellant","","","","","","","","","","","","","","","","","","","","7.862","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","0-ed6a3dc6fe779ea7ddd71ac9b00db36ec3285e9d2e585868e18d9642a82c8b93","1-d911c5e625f151e22b1d7aa06cea3ca80feb20836c654839899ae9c6992869f1","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","0.168","","","0.161","0.171","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","1-446bcc411843115779a3ad301039b7fa6732a9f3cb68ace2e2e279388383f670","1-d911c5e625f151e22b1d7aa06cea3ca80feb20836c654839899ae9c6992869f1","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","1.109","","","0.755","1.022","0.5","0.5","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","2-1ac88795ed74f18cee172d234b25afc083331794951fa8e130291d630f70f4d7","1-d911c5e625f151e22b1d7aa06cea3ca80feb20836c654839899ae9c6992869f1","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","","","3.244","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","3-16593f5d50b8a03f28600b02d05d1df2c289bef02dd70852b7ea972318ddb369","1-d911c5e625f151e22b1d7aa06cea3ca80feb20836c654839899ae9c6992869f1","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","","","1.501","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","621edea18b6f0aa383bac828a5b90a44fa97edda0d738834c36952ac5651ecbc","4-6c58af45089e855b204822b3359e8c3289c98d83f20b1ee6017342becc76ae50","1-d911c5e625f151e22b1d7aa06cea3ca80feb20836c654839899ae9c6992869f1","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","72.112","","","3.752","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","7310993ddf0a03a461093bce5e01a68a4b4bfea03b4d9ab432450cabe9805dda","0-716fef1b4c98631747f7f6b62250b78c95e8fde841c97ea3e0c2bfe8aaccd26c","0-16dbca514c6154396a67606681d556bd807a42774457c2efebd3ff4a39557d3c","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","47.583","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","7310993ddf0a03a461093bce5e01a68a4b4bfea03b4d9ab432450cabe9805dda","1-12efeafb901abf8bbbbb154988c309d05851d2786c0e0ca8716d0d12d0223658","0-16dbca514c6154396a67606681d556bd807a42774457c2efebd3ff4a39557d3c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","0.5","","","212.116","6.045","13.459","13.459","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","7310993ddf0a03a461093bce5e01a68a4b4bfea03b4d9ab432450cabe9805dda","0-b7fa3dec28a23c0a77e2cf86f5b2a507935dbece32848444fba7482da412c3ab","1-6369036d644247c64566c5d9a25571df870e3289088050fe73d30b58c454071d","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","","","26.884","25","25","25","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","7310993ddf0a03a461093bce5e01a68a4b4bfea03b4d9ab432450cabe9805dda","1-793872372cb44f3da29c2386116fdae73de63c1ee53b4855de9d6b4a77fa7c6d","1-6369036d644247c64566c5d9a25571df870e3289088050fe73d30b58c454071d","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","2.468","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","7310993ddf0a03a461093bce5e01a68a4b4bfea03b4d9ab432450cabe9805dda","0-2cee69c87a294de04987ad4f95e15c060997b93fa8020f92b2ccb86faa35133b","2-2610f6adb2f86a37450b4297a16ef5c11073af3b1fcb0ef52ba9d232ff5f11dc","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","25.162","","","7.499","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","7310993ddf0a03a461093bce5e01a68a4b4bfea03b4d9ab432450cabe9805dda","1-482524b1361ce8fe46cf7575ddb11405cfb2fa4a659d96827db790b7a803c0c8","2-2610f6adb2f86a37450b4297a16ef5c11073af3b1fcb0ef52ba9d232ff5f11dc","root.record.ItemExhibitList.P5Item"
"WGS Block II Follow-On Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","12.989","","","11.852","4.155","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","3383ab969d1b4b26ed72c468f681da9f33cbcacd1fa8db418d9aab343c306eab","0-828906f251dc940a0673e7ca9c9da49bfcc38a3643305dd3e0ad1089cf8a0638","0-cca502ac34f881ad5949cf18fedc69177d9ceca1d7f7288602bf446873d66148","root.record.ItemExhibitList.P5Item"
"WGS Block II Follow-On Storage, Reactivation and Transport","","","","","","","","","","","","","","","","","17.556","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","3383ab969d1b4b26ed72c468f681da9f33cbcacd1fa8db418d9aab343c306eab","1-bde7b0274b67b74b42b077edbee02653fcfba4292a95d410e1a31c2bb1e4b989","0-cca502ac34f881ad5949cf18fedc69177d9ceca1d7f7288602bf446873d66148","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Launch Services","","","","","","","","","","","","","","","","","7.1","","","25.432","19.472","7.9","7.9","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","d9e015b62b2629295911b71d4f8ac6943e63cee393cf9ae77743082efb19f77a","0-9e2ba7bcd81b78430445897481e8e43919498bcebe079915d3a3b07deb7452f2","0-8030e13e9372bf737165d24ab1eeed263328f922874b83f717aabf57ebb11a94","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 On-Orbit Incentive","","","","","","","","","","","","","","","","","0","","","0","1.5","9","9","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","d9e015b62b2629295911b71d4f8ac6943e63cee393cf9ae77743082efb19f77a","1-8339f59200cb8776c1928a1a17a7a0cf225bf0cfa7d4d1cb6102b1913efe84e2","0-8030e13e9372bf737165d24ab1eeed263328f922874b83f717aabf57ebb11a94","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Storage and MRT","","","","","","","","","","","","","","","","","1.2","","","0","8.865","3.666","3.666","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2020.xml","d9e015b62b2629295911b71d4f8ac6943e63cee393cf9ae77743082efb19f77a","2-f2f58e31eec88609b6140b98651978bcfd0e606265369fc2fc6c5894a795b53e","0-8030e13e9372bf737165d24ab1eeed263328f922874b83f717aabf57ebb11a94","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","61.649","","","3.405","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","0-50ebd364a41e3c19826547538e49d9dd2471461545ff3c442875be2dcef77210","0-fee89e2516606416af31bab20448dabc9df4aeb7409ca81efd91859bc7ec0b8a","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0.538","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","1-dff9a53c104e9a58a500620dd8ad1fc8d84a2c5624a68bb84b7efc4f135adf04","0-fee89e2516606416af31bab20448dabc9df4aeb7409ca81efd91859bc7ec0b8a","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellant","","","","","","","","","","","","","","","","","","","","7.862","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","0-13aa59868bde30a296cd982a75c75464c24eeb7b92ec5cf68d213c0edb5bb546","1-937c9c4c3f70291fb5c473323d618468d70dbcc2abfe7451e839334252444ae1","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","0.168","","","0.161","0.171","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","1-263fd53d5c5aedd58afff1eb405f16bf2ab94b6d591de63468fcf0d23265ad30","1-937c9c4c3f70291fb5c473323d618468d70dbcc2abfe7451e839334252444ae1","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","1.109","","","0.755","1.022","0.5","0.5","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","2-fcf8eb6c3ce90025459b0c634032446c1617db18b4c2552ee06694f9baac92b2","1-937c9c4c3f70291fb5c473323d618468d70dbcc2abfe7451e839334252444ae1","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","","","3.244","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","3-9b7ee2a409dddd44f9eb7c51f5cd6031f9d0b5d67a2d6e62fc248a95f7fe2da6","1-937c9c4c3f70291fb5c473323d618468d70dbcc2abfe7451e839334252444ae1","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","","","1.501","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","71e709ec4ea58e99f450f7c50bce63c4675eea5ed94481f1ceadefb1f0b03eb9","4-307afc8d2067ac731583566b5fbc0b159ea8dfdbb7a82724e265091068bb5c2e","1-937c9c4c3f70291fb5c473323d618468d70dbcc2abfe7451e839334252444ae1","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","72.112","","","3.752","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","4f1d2d6b9106070fa3f8ca9b17516c7e58da2d22e5119318f0d48af58a4c34a5","0-3ca9d6b2023c72e0d97c4bddf3e942faa29939522b8b1d0579743f746122018e","0-92c5925f959f753472da9a3dde6b8b2bdb7d71604883bc9ebf0cb612cd6f5984","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","47.583","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","4f1d2d6b9106070fa3f8ca9b17516c7e58da2d22e5119318f0d48af58a4c34a5","1-a72e78e52e682fb237d3e335a559f03cf25d42c4eeef1fcddc296c84168826bc","0-92c5925f959f753472da9a3dde6b8b2bdb7d71604883bc9ebf0cb612cd6f5984","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","0.5","","","212.116","6.045","13.459","13.459","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","4f1d2d6b9106070fa3f8ca9b17516c7e58da2d22e5119318f0d48af58a4c34a5","0-1d6050fbe328de20c8435e2c3ddf7eb9ff982b9b38b8c399c4e0d517eb9758d7","1-4b6a63175922149c8da7b6f1d3cfa1389882918f893e3309d89fd702d17e3d4f","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","","","26.884","25","25","25","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","4f1d2d6b9106070fa3f8ca9b17516c7e58da2d22e5119318f0d48af58a4c34a5","1-240c6a8b3a880329d72d501d7351611345ad973c21206838a0b8ecd3ebab3dac","1-4b6a63175922149c8da7b6f1d3cfa1389882918f893e3309d89fd702d17e3d4f","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","2.468","","","","","","","","","","","","2020-BASE_PROCUREMENT-2020-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2020.xml","4f1d2d6b9106070fa3f8ca9b17516c7e58da2d22e5119318f0d48af58a4c34a5","0-3a809e419038efac5fdff2bcf542eec38137ac4aeecc543bf1c99683783d43c6","2-3509fa85098d7523c7a8ae68a7f0ceda4487f6efc2dbc1184c321fcf6c9f2129","root.record.ItemExhibitList.P5Item"
