Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"GEO 5-6 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","485.24","","227.203","88.484","88.484","169.553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","0-0e2f7ebfa21d0eef57daef7573396c7bfc463b42f311a0b581ac85aef5df2d82","","1-3d4b10aeba6dfe2409d62a12858b8c3b08f10005a4e2f4dc73df779fc9e1566c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","310.407","","46.804","30.282","30.282","233.321","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","1-5746d324a001c8f58a6c142004142f5330d7663461a1016bdf135ac86583f083","","1-3d4b10aeba6dfe2409d62a12858b8c3b08f10005a4e2f4dc73df779fc9e1566c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","75.269","","","17.284","17.284","18.826","14.172","12.807","12.18","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","2-80b0af6695339e739464ab8c915aae06e3fcd759714771fb8bf41dd52520cf80","","1-3d4b10aeba6dfe2409d62a12858b8c3b08f10005a4e2f4dc73df779fc9e1566c","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","133.821","","22.415","22.232","22.232","27.743","20.996","20.788","19.647","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","3-40db6ee4575dbe70a8e2989b1acae605d2c7697dfce9b3bd26d85591119086e3","","1-3d4b10aeba6dfe2409d62a12858b8c3b08f10005a4e2f4dc73df779fc9e1566c","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","0-0dc6bde512a10e9173657c576ac89c8e7b12988341bed7f37eef1217399c87e1","","2-c5d3f35cbda3f5d2315243eed9992e96f1c511c2cc0e6910aa4e845e5235707b","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","1-0524bfe59a6a1c4a8a11046f6434c922fe2de0b04c23445b09f1214631deea7f","","2-c5d3f35cbda3f5d2315243eed9992e96f1c511c2cc0e6910aa4e845e5235707b","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ca5cd995b42dacb4743c610e3e1e282ffec8e42efa472de7418cbaa013fae1dd","2-4efb4fd5a18bf56b53609fdb3cf088c2d249d9bfb71ad75be7cf67d667ee3240","","2-c5d3f35cbda3f5d2315243eed9992e96f1c511c2cc0e6910aa4e845e5235707b","root.record.ItemExhibitList.P5Item"
"WGS SV 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","bb51c4f9e21b33c26ae3c8231780f72f2d2fd15ec7a3b25152eb2c4fe9c34205","0-4385d2cad6aec66efa4e52962f3cc173e9d20cd0cfe3f38182460a812d1f3f9c","","0-959ea6f6ec168135731dad7801829e0bbd83e7fda14332df0be2296e999e32aa","root.record.ItemExhibitList.P5Item"
"WGS SV 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","bb51c4f9e21b33c26ae3c8231780f72f2d2fd15ec7a3b25152eb2c4fe9c34205","1-c1147f4243d662ece9b3ed59f8436729169adfccc00403777330b54301a3a836","","0-959ea6f6ec168135731dad7801829e0bbd83e7fda14332df0be2296e999e32aa","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","bb51c4f9e21b33c26ae3c8231780f72f2d2fd15ec7a3b25152eb2c4fe9c34205","2-068cc046ce5c27f6b4ec09715dd6432d18c72026cedd78765b54eb5a95511540","","0-959ea6f6ec168135731dad7801829e0bbd83e7fda14332df0be2296e999e32aa","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","0","0","233.763","0","232.62","1.143","1.143","","","","","0","","233.763","","232.62","","","","","","","","Lockheed Martin","Denver, CO","0.00","0.00","0.00","0","0","0","0","0","6","66","72","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d04d697926aa20f016e2010f3f7bb3fa4c373c6c6702c3ad57975bf59074690f","0-4e2933a0e685401d6fad9feeb5ec37269aa017d43b5a223b5d1d346151ad8914","","0-dd40004eca368fb9aece107273f13e22cfd6a933a56a5f51faa0c85d3e0a2cfa","root.record.ItemExhibitList.P5Item"
"GPS III SV11+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","","2","3","3","2","12","","2691.281","4652.52","","","","","491.082","558.396","489.461","422.3","","","211.478","","","","","245.541","186.132","163.154","211.15","224.273","TBD","TBD","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d04d697926aa20f016e2010f3f7bb3fa4c373c6c6702c3ad57975bf59074690f","1-1f53c9a052f19d1e7b43ae33415fbb87e9a69399839e91d3e1a8cdead3e688c6","","0-dd40004eca368fb9aece107273f13e22cfd6a933a56a5f51faa0c85d3e0a2cfa","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.408","4.297","","1.098","2.272","2.272","0.124","0.128","0.131","0.136","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d04d697926aa20f016e2010f3f7bb3fa4c373c6c6702c3ad57975bf59074690f","2-be27e7dbe2908ed9e83e710c24c5f6de3203036856ae3f2a65e814bfdd78e3ce","","0-dd40004eca368fb9aece107273f13e22cfd6a933a56a5f51faa0c85d3e0a2cfa","root.record.ItemExhibitList.P5Item"
"GPS III SV11+ Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.283","34.717","","","","","2.972","3.061","3.153","3.248","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d04d697926aa20f016e2010f3f7bb3fa4c373c6c6702c3ad57975bf59074690f","3-15c2ecfe8086cb2a8b0820fa29e2c6962d7eae6c7a1fda221d4cd59f32fb889a","","0-dd40004eca368fb9aece107273f13e22cfd6a933a56a5f51faa0c85d3e0a2cfa","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.113","30.853","","13.278","12.766","12.766","0.644","0.664","0.684","0.704","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d04d697926aa20f016e2010f3f7bb3fa4c373c6c6702c3ad57975bf59074690f","4-045468f1b941b0df4fb1f2416cc1a95a187ddd424e3e304aba0a07d595e13f9c","","0-dd40004eca368fb9aece107273f13e22cfd6a933a56a5f51faa0c85d3e0a2cfa","root.record.ItemExhibitList.P5Item"
"GPS III SV 11+ Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.694","186.404","","","","","15.468","15.931","16.409","16.902","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d04d697926aa20f016e2010f3f7bb3fa4c373c6c6702c3ad57975bf59074690f","5-fed1e5d210a6169b2bb5444e3be958e9f0b8815cd2bae413a0f76ed4786a79e3","","0-dd40004eca368fb9aece107273f13e22cfd6a933a56a5f51faa0c85d3e0a2cfa","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Block Buy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.441","555.147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","b09f2a395e28d75920d06a2c4357d3e9862bc725f2eb538802dab0e8246d6e81","0-ce74dbea14f79d5c3faa2532ec71583df69d45546176e28052d08de485e52f77","","1-275ed2a240472c675570226a82a139ebcf10ef993e03ceae8a8d18a7bcadf140","root.record.ItemExhibitList.P5Item"
"Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.934","10.558","12.773","12.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","b09f2a395e28d75920d06a2c4357d3e9862bc725f2eb538802dab0e8246d6e81","1-d673338bcae72af4952031d755a93bfd3069e07204fac7caa05fab1227e98198","","1-275ed2a240472c675570226a82a139ebcf10ef993e03ceae8a8d18a7bcadf140","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.035","14.761","18.039","18.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","b09f2a395e28d75920d06a2c4357d3e9862bc725f2eb538802dab0e8246d6e81","2-02bf0c46701300be53d4a934f1ee724e77ecdfafddb9b3b535f6e377b0c1cab6","","1-275ed2a240472c675570226a82a139ebcf10ef993e03ceae8a8d18a7bcadf140","root.record.ItemExhibitList.P5Item"
"ACF/IC2 Test Asset Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.976","9.251","9.093","9.093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","b09f2a395e28d75920d06a2c4357d3e9862bc725f2eb538802dab0e8246d6e81","3-0265621feafe88fed288f9a57b038328bcd8ee63994e87dc9911d773067b3a43","","1-275ed2a240472c675570226a82a139ebcf10ef993e03ceae8a8d18a7bcadf140","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.241","0.621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","0-e2bd45d08e090e68e7eb392b98ed9fe4838e0e615b68967c1a5b7628c4765e04","","0-a369f21b2885a09dee514079a9949237bf53e744d7a62bcb736a4f31b2388f95","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.459","5.507","9.485","9.485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","1-c3ed626dc2a712cae11a492f26887cac651cd8c48347c1998b8f4dd0e40a8fe3","","0-a369f21b2885a09dee514079a9949237bf53e744d7a62bcb736a4f31b2388f95","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","2-004164dffa47bae86933cbd4d12087ebb8c7bf446d98f26db4a9d368997645b4","","0-a369f21b2885a09dee514079a9949237bf53e744d7a62bcb736a4f31b2388f95","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216.874","84.351","194.102","194.102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","0-f723ec8fdd140f4c2e75eeb6f8459c5d4bd9ee8dacbd2df838b2d4dd30bb19b1","","1-7b528faa3f9b354151ec62c725be000ec23425816bfe5c619db45cd65cfb7c84","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.163","58.32","305.925","305.925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","1-b8360c4e271b19bbc4f0a461ddf3a535cd5c52f4346e1704e952a3b271ae9e87","","1-7b528faa3f9b354151ec62c725be000ec23425816bfe5c619db45cd65cfb7c84","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.284","18.826","18.826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","2-7d61480642ef15096b8cb526a6bbbd074b3d01820b34583bb77b3fb3324f5d9c","","1-7b528faa3f9b354151ec62c725be000ec23425816bfe5c619db45cd65cfb7c84","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.415","22.232","27.743","27.743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","3-df03d22aa571f569de8df46dc85d0788ad986b84efb8578db4ca7fd4abb1f4db","","1-7b528faa3f9b354151ec62c725be000ec23425816bfe5c619db45cd65cfb7c84","root.record.ItemExhibitList.P5Item"
"SV 7-8 Satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","0-4e37e568d02986af0d4ec86d1a6bcfb95920a82d923f3798323f7aba0fc8d945","","2-d649189e0ce0d54c0153f6de292b4e2c8b1db53287631fd727bf77b8f6155327","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","0-fc5676bc173fb7603e2e86170a86a433dfc9d4cd1101ef9d8d53f38ef503a183","","3-4e8b7406857c90b9eebbfe0803b6bcd467772132f8c3f5e1087e86f4a5be83de","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","1-bbab87a2cdcb09a874c623f0332a7300cd3d7cc15aa3a89d0227ef92a3caea29","","3-4e8b7406857c90b9eebbfe0803b6bcd467772132f8c3f5e1087e86f4a5be83de","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-BASE_PROCUREMENT-2018-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2018.xml","349c370ac6bc97a5ad160143ded991d0d22dea7de2bf966fd5e97c39409da319","2-3b7bca75035dff32cd492f1ae5e932f6c0667cb0b7e7daee7101dd05297aa6ad","","3-4e8b7406857c90b9eebbfe0803b6bcd467772132f8c3f5e1087e86f4a5be83de","root.record.ItemExhibitList.P5Item"
